id,remark,atom
100d,323,489
200d,362,284
200l,329,1405
300d,276,879
400d,216,279
101d,333,556
101m,268,1413
201d,184,5466
201l,294,2763
301d,247,878
401d,247,329
102d,314,582
102l,301,1439
102m,270,1423
202d,173,2584
302d,307,603
402d,266,366
103d,102,772
103l,323,1404
103m,282,1389
203d,57,21480
303d,309,603
403d,272,651
104d,135,766
104l,413,2636
104m,243,1450
204d,57,21480
304d,292,237
404d,278,423
105d,127,2912
105m,244,1386
205d,350,541
205l,325,1387
305d,320,235
405d,219,688
106d,130,3008
106m,262,1424
206d,367,310
206l,259,1436
306d,296,256
406d,239,2994
107d,179,2024
107l,327,1451
107m,260,1418
207d,329,9920
207l,287,1161
307d,315,1350
407d,311,593
108d,381,24760
108l,311,1474
108m,273,1386
208d,282,454
208l,246,1075
308d,309,448
408d,295,595
109d,337,607
109l,324,1457
109m,273,1474
209d,463,703
209l,354,1328
309d,223,472
409d,289,1034
10gs,278,3521
20gs,328,3431
10mh,451,3254
110d,330,207
110l,311,1441
110m,260,1455
210d,234,162
210l,334,1413
310d,255,464
410d,215,568
111d,290,552
111l,328,1457
111m,273,1433
211d,247,165
211l,327,1439
311d,203,593
411d,197,472
112d,250,573
112l,295,1451
112m,261,1415
212d,399,289
212l,313,1491
312d,255,358
412d,243,533
113d,235,560
113l,295,1456
213d,290,507
213l,292,1372
313d,258,349
413d,223,325
114d,258,552
114l,343,1451
214d,298,28000
214l,292,1358
314d,246,339
414d,235,924
115d,313,407
115l,340,1447
215d,283,213
215l,291,1412
315d,277,401
116d,308,283
216d,278,237
216l,302,2639
316d,332,455
117d,287,276
117e,409,4943
217d,280,240
217l,338,1485
317d,287,207
417d,244,302
118d,240,203
118l,317,1471
218d,257,564
218l,294,1373
318d,310,512
418d,258,360
119d,341,624
119l,311,1464
219d,132,411
219l,335,1443
319d,280,511
419d,219,723
11as,382,5220
11ba,297,2126
11bg,347,2163
21bi,278,1206
31bi,277,1194
41bi,281,1147
11gs,271,3538
120l,317,1480
220d,409,251
220l,317,1417
320d,262,494
420d,258,735
121d,353,564
121p,352,1550
221d,346,489
221l,273,1434
221p,416,1566
321d,282,518
421d,284,569
421p,388,1564
521p,383,1360
621p,425,1582
721p,437,1545
821p,372,2031
122d,387,443
122l,323,1464
222d,332,494
222l,311,1422
322d,258,482
422d,254,527
123d,408,486
123l,308,1461
223d,333,297
223l,328,1452
323d,260,524
423d,351,648
124d,104,508
224d,292,432
224l,260,1437
324d,276,497
424d,203,1476
125l,310,1463
225d,114,724
225l,304,1441
325d,259,499
425d,201,494
126d,362,453
126l,313,1462
226d,210,460
226l,301,1435
326d,296,519
426d,327,466
127d,368,639
127l,332,1469
227d,315,563
227l,301,1425
327d,323,245
427d,273,257
128d,351,590
128l,317,1463
228l,328,1411
328d,278,599
428d,242,612
129d,338,584
129l,344,1463
229d,114,537
229l,333,1423
329d,289,529
429d,268,1026
12as,381,5385
12ca,355,2116
32c2,338,3326
12e8,304,7429
12gs,297,3525
22gs,296,3608
130d,357,592
130l,344,1466
230d,165,6279
230l,302,1435
330d,270,538
430d,332,640
830c,382,4346
131d,396,332
131l,333,1473
231d,308,203
231l,278,1322
331d,278,355
431d,307,534
132d,189,750
132l,231,1091
232d,327,292
232l,313,1409
332d,280,405
432d,250,512
133d,292,291
133l,259,1100
233d,296,553
233l,316,1428
333d,285,177
433d,277,664
134d,203,793
134l,255,1098
234d,288,215
234l,311,1413
334d,347,519
434d,295,743
135d,196,797
135l,247,1108
235d,278,205
235l,317,1444
335d,351,272
435d,297,721
136d,262,11158
236d,303,227
236l,282,1440
336d,443,342
436d,298,724
137d,275,505
137l,272,2856
237d,294,250
237l,313,1460
337d,232,183
437d,275,766
138d,310,240
138l,323,1420
238d,327,259
238l,337,1435
338d,219,180
438d,298,380
139d,218,3632
139l,328,1447
239d,286,271
239l,302,1431
339d,227,178
439d,423,399
43c9,401,7254
43ca,406,7271
13gs,299,3591
13pk,437,13271
140d,147,527
140l,340,1400
240d,310,476
240l,300,1447
340d,219,182
440d,258,539
141d,145,527
141l,324,1412
241d,333,289
241l,319,1449
341d,219,186
441d,297,280
142d,144,527
142l,339,1400
242d,269,303
242l,353,1487
342d,246,182
442d,350,571
143d,196,4290
143l,341,1404
243d,262,181
243l,313,1441
343d,274,1140
443d,373,564
144d,361,590
144l,320,1411
244d,677,2453
244l,339,1433
344d,322,249
444d,212,563
145d,200,920
145l,339,1385
245d,284,421
245l,311,1461
345d,219,178
445d,232,550
146d,238,1362
146l,345,1408
246d,315,417
246l,307,1463
346d,228,182
446d,391,832
147l,340,1396
247d,314,252
247l,325,1456
447d,212,532
148d,202,5856
148l,375,1525
248d,261,295
248l,303,1437
348d,257,383
448d,212,543
149d,211,9296
149l,269,1347
249d,369,1190
249l,309,1464
349d,286,368
449d,212,531
14gs,304,3083
150d,300,623
150l,388,5327
250d,350,1188
250l,323,1439
151d,323,221
151l,342,1323
251d,309,152
251l,319,1406
351c,315,720
351d,298,277
451c,329,726
152d,295,212
152l,270,1359
252d,300,479
252l,328,1505
352d,727,2490
452d,246,321
153d,275,541
153l,256,1614
253d,279,213
253l,283,1437
353d,383,666
453d,222,692
154d,348,237
154l,289,1639
254d,300,278
254l,291,1471
354d,332,647
454d,358,2177
155c,238,1017
155l,341,1421
255d,316,302
255l,312,1463
355d,242,660
455d,261,647
156d,211,6256
156l,327,1446
256b,323,1923
256d,313,277
256l,282,1441
456c,371,3426
456d,266,662
157d,268,607
157l,313,1426
257d,315,262
257l,322,1421
357d,321,1303
457d,247,562
158d,331,481
158l,316,1423
258d,359,824
258l,327,1416
358d,247,496
458d,261,592
159d,301,258
159l,318,1442
259d,346,451
259l,308,1382
359d,292,878
459d,233,640
15c8,272,3350
25c8,296,3507
35c8,294,3587
160d,362,507
160l,322,1441
260d,315,243
260l,390,1409
360d,243,733
460d,263,701
161d,312,467
161l,305,1440
261d,263,501
261l,297,1415
361d,341,1079
461d,256,671
162l,307,1431
262l,318,2842
362d,299,335
462d,404,1296
163l,310,1453
263d,248,588
363d,513,1760
463d,412,602
164l,312,1439
264d,306,536
364d,332,1311
464d,278,745
165d,282,474
165l,308,1430
265d,363,608
365d,330,573
465d,287,195
166d,330,584
166l,309,1431
266d,389,550
366d,258,336
466d,263,673
966c,329,1961
167d,324,448
167l,278,2650
267d,391,598
367d,333,431
467d,234,438
168d,337,461
168l,420,6445
268d,435,621
368d,213,395
468d,244,714
169d,104,635
169l,419,6290
269d,390,616
369d,232,378
469d,228,711
16gs,273,3589
16pk,250,3801
16vp,322,2637
170d,60,760
170l,288,1325
270d,360,612
370d,220,395
470d,241,727
171d,60,758
171l,291,1288
271d,407,608
371d,200,367
471d,208,616
172d,460,784
172l,266,1360
272d,241,454
372d,219,171
472d,265,365
173d,589,512
173l,323,1400
473d,329,491
174l,328,2606
274d,346,246
474d,262,954
175d,101,638
175l,289,2667
275d,314,273
375d,267,961
176d,159,3930
176l,288,2640
276d,295,204
376d,336,206
476d,337,579
177d,231,3972
177l,323,1294
277d,281,204
377d,233,581
477d,339,611
178d,240,564
178l,285,1295
278d,279,203
378d,246,840
478d,328,557
179d,146,1518
279d,360,55
379d,288,878
479d,210,409
17gs,275,3566
17ra,127,8076
180d,283,261
180l,324,2682
280d,245,1166
380d,239,356
480d,247,663
181d,313,282
181l,315,1441
281d,244,388
381d,254,347
481d,223,209
182d,360,465
182l,306,1436
282d,257,343
382d,315,241
482d,262,189
183d,285,246
183l,305,1424
283d,252,277
383d,262,498
483d,244,837
184d,302,190
184l,288,1434
284d,306,621
384d,278,499
484d,341,26862
185d,271,2580
185l,283,1442
285d,334,584
385d,331,189
485d,305,431
186d,157,5481
186l,313,1442
286d,295,465
386d,309,170
486d,475,4934
187d,256,200
187l,330,1433
287d,283,623
387d,298,562
487d,179,8778
188d,266,203
188l,306,1438
288d,294,205
388d,260,668
488d,313,1412
189d,246,201
189l,275,1349
289d,214,566
389d,292,675
28dn,328,217
18gs,318,3907
28sp,233,6391
28sr,120,913
190d,398,1090
190l,324,1417
290d,288,555
390d,233,414
1914,461,1409
191d,408,398
191l,328,1420
291d,300,557
391d,224,761
192d,285,389
192l,333,1392
292d,397,333
392d,245,497
193d,259,2624
193l,323,1156
293d,436,349
393d,326,476
194d,303,556
194l,327,1148
294d,383,980
394d,279,470
195d,329,604
195l,322,1436
295d,257,213
395d,364,242
196d,421,524
196l,326,1406
296d,317,583
396d,295,261
197d,312,388
197l,346,1383
297d,321,579
397d,268,749
198d,378,798
198l,331,1444
298d,247,596
398d,229,750
199d,162,1800
199l,287,1442
299d,210,873
399d,259,549
